% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.777311742e+04 +1.777311742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
401 +1.373804626e+04 +1.373804626e+04 +1.319154626e+04 +1.319154626e+04 +2.2498e+00 +1.3444e+00 -1.7647e+00 +8.3477e-01 +4.4270e+00 -1.8986e-01 +1.7671e+00 +1.3725e-01 +4.2251e-01 -1.2206e+00 +8.5093e-01 +1.6857e+00 -1.8176e+00 +2.3130e-01 +2.0602e+00 -2.8830e+00 -5.2624e-02 -2.8811e+00 -2.9650e-01 +1.0048e+00
418 +1.190255891e+04 +1.190255891e+04 +1.135605891e+04 +1.135605891e+04 +1.2969e+00 +2.2675e-01 -1.5853e+00 +7.7037e-01 +4.3411e+00 -2.7145e-01 +1.6663e+00 -1.6685e-01 +6.3852e-01 -1.6588e+00 -5.9111e-01 +1.0376e+00 -3.2306e-01 +4.7756e-01 +1.4719e+00 -2.7547e+00 -4.9085e-01 -1.9148e+00 -4.9027e-01 +1.0995e+00
427 +6.378936174e+03 +6.378936174e+03 +5.832436174e+03 +5.832436174e+03 +2.8186e+00 -8.1427e-01 -1.9689e+00 +1.0814e-01 +4.6611e+00 +2.1448e-01 +9.6708e-01 -1.0520e+00 +3.4872e-01 +1.1394e+00 +4.8561e-02 +1.6511e+00 +1.1918e+00 +1.0347e-01 +1.0680e+00 -2.2227e+00 -5.3848e-01 -1.8380e+00 -1.5911e-01 +1.6184e+00
440 +5.645183925e+03 +5.645183925e+03 +5.098683925e+03 +5.098683925e+03 +1.6317e+00 +4.4432e-01 -7.4906e-01 +9.7942e-01 +4.4209e+00 -5.3003e-01 +1.2260e+00 -4.9005e-01 -3.8463e-01 -9.8598e-01 -8.1966e-02 +1.2057e+00 +1.9638e-01 +9.9034e-02 +1.2273e+00 -2.5664e+00 -4.5068e-01 -1.5385e+00 -1.3927e-01 +1.4317e+00
462 +3.900713031e+03 +3.900713031e+03 +3.354213031e+03 +3.354213031e+03 +1.1167e+00 +2.8590e-01 -1.3477e+00 +1.6264e-01 +3.8747e+00 -9.2334e-01 +1.5849e+00 -6.3951e-01 -6.4737e-02 -2.8967e-01 +2.3799e-01 +1.2811e+00 +6.9729e-01 +3.3570e-01 +9.6034e-01 -2.7918e+00 +1.1158e+00 -1.4506e+00 -1.1095e-01 +1.3704e+00
506 +2.023044113e+03 +2.023044113e+03 +1.476544113e+03 +1.476544113e+03 +1.0301e+00 -1.5442e-01 -9.0900e-01 -3.0619e-03 +4.5563e+00 -1.2289e+00 +1.1610e+00 -1.6559e-01 -2.2764e-01 +1.7389e+00 -1.8119e-01 +1.7805e+00 +1.1610e+00 -2.2023e-01 +1.5492e+00 -2.4352e+00 +7.4137e-01 -1.6592e+00 -4.0523e-01 +2.2406e+00
528 +9.666308925e+02 +9.666308925e+02 +4.201308925e+02 +4.201308925e+02 +1.8187e+00 +1.0550e-01 -1.2055e+00 +2.2715e-02 +4.1161e+00 -1.5154e+00 +8.3808e-01 +9.3954e-02 -5.8752e-01 +2.0031e+00 -4.9991e-02 +1.6477e+00 +9.2088e-01 -8.7119e-01 +9.2711e-01 -2.1321e+00 +1.3116e+00 -1.6657e+00 -5.2268e-01 +2.1620e+00
550 +2.248940878e+02 +2.248940878e+02 -3.216059122e+02 -3.216059122e+02 +2.3287e+00 -9.7942e-01 -3.6452e-01 +5.3524e-01 +3.3918e+00 -1.3420e+00 -1.9367e-02 -2.8640e-01 -9.0596e-01 +1.1766e+00 +6.3436e-01 +6.1198e-01 +1.5489e+00 -9.5113e-01 +7.6955e-01 -2.3076e+00 +2.0141e+00 -2.4907e+00 -4.4927e-01 +1.6365e+00
594 +4.735026229e+00 +4.735026229e+00 -5.417649738e+02 -5.417649738e+02 +2.2866e+00 -1.1186e+00 -2.2720e-01 -4.4024e-01 +2.8369e+00 -6.7164e-01 -1.2715e+00 -5.6216e-01 -6.3929e-01 +1.4359e+00 -7.1610e-03 +9.6857e-01 +8.5475e-01 -5.6668e-01 +6.9816e-01 -8.7497e-01 +1.5810e+00 -1.8212e+00 -1.0391e+00 +1.4880e+00
858 +4.501413443e+00 +4.501413443e+00 -5.419985866e+02 -5.419985866e+02 +1.4342e+00 -5.0008e-01 +7.0705e-01 +3.5008e-02 +2.1244e+00 +2.1621e-01 -1.5196e+00 -3.9123e-01 -2.4153e+00 +7.1350e-01 +9.9970e-01 +1.5840e+00 +9.5881e-01 -1.3603e+00 +1.3678e+00 -9.7561e-01 +2.0597e+00 -1.6631e+00 -1.1062e+00 +1.7235e+00
