% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.235000000e+002 +1.235000000e+002 +2.473300000e+002 +2.473300000e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
924 +9.859078381e+001 +9.859078381e+001 +2.224207838e+002 +2.224207838e+002 -9.4164e-002 +6.5092e-001 +6.9161e-001 -1.1708e-001 -5.8048e-001 +8.1225e-002 +4.9201e-001 -8.1820e-005 -3.6708e-001 -1.0980e+000 -1.0363e-001 +3.0699e-001 -1.5404e-001 -7.9114e-002 +5.6523e-001 +7.0906e-001 -1.0782e+000 +3.3171e-001 -2.0377e-001 +4.4971e-001
1012 +7.865394090e+001 +7.865394090e+001 +2.024839409e+002 +2.024839409e+002 -1.9913e-001 +7.8433e-001 +4.8899e-001 +3.8657e-003 -4.6861e-001 +9.9318e-002 +3.9258e-001 +1.1577e-001 +1.3656e-001 -1.0111e+000 -4.5453e-002 -8.3714e-002 -6.0494e-001 +9.7812e-002 +2.4669e-001 +8.2585e-001 -8.5199e-001 -7.6793e-002 -9.0980e-002 +3.0791e-001
1166 +6.953944796e+001 +6.953944796e+001 +1.933694480e+002 +1.933694480e+002 -1.0511e-001 +5.4031e-001 +7.8620e-001 +2.1412e-001 -5.8681e-001 +3.6999e-002 +6.5972e-001 +3.1960e-001 +3.0369e-002 -1.0893e+000 +2.1791e-002 +2.7918e-001 -3.9087e-001 -8.1194e-003 +7.2835e-001 +3.3865e-001 -5.0631e-001 -2.9237e-002 -3.2683e-002 -2.9743e-002
1188 +5.359003898e+001 +5.359003898e+001 +1.774200390e+002 +1.774200390e+002 -1.4353e-001 +1.6192e-001 +7.8213e-001 +1.9908e-001 -4.3985e-001 -4.0688e-002 +6.1798e-001 +2.4866e-001 -6.9968e-003 -9.9565e-001 +1.5114e-001 +1.8870e-001 -4.9510e-001 +1.0691e-001 +8.7033e-001 +3.8427e-001 -7.1934e-001 +6.6613e-002 -2.2208e-001 -3.7813e-003
1320 +4.820006046e+001 +4.820006046e+001 +1.720300605e+002 +1.720300605e+002 -3.0826e-001 +4.5075e-001 +4.6275e-001 -8.4036e-002 -4.6606e-001 +2.0020e-002 +5.2603e-001 +1.5391e-001 +8.4428e-002 -8.6419e-001 +5.1806e-002 +4.4323e-001 -4.2460e-001 +2.4586e-002 +6.6315e-001 +4.8360e-001 -7.5069e-001 +1.7359e-001 +6.1242e-002 +1.3691e-001
1342 +3.822586548e+001 +3.822586548e+001 +1.620558655e+002 +1.620558655e+002 -2.9783e-001 +5.4298e-001 +5.1887e-001 -4.6993e-002 -5.4879e-001 -6.2509e-002 +5.1573e-001 +1.1838e-001 +6.2169e-002 -9.9967e-001 +1.6023e-001 +3.8191e-001 -3.8117e-001 -2.2703e-002 +6.1599e-001 +6.2401e-001 -9.7491e-001 +1.7631e-001 +1.1331e-001 +1.6429e-001
1364 +3.602660964e+001 +3.602660964e+001 +1.598566096e+002 +1.598566096e+002 -1.8530e-001 +4.8992e-001 +5.9506e-001 +2.7905e-004 -4.9271e-001 +1.2041e-002 +5.0458e-001 +1.4137e-001 -3.5694e-002 -9.0067e-001 +1.7908e-001 +2.9889e-001 -3.1281e-001 -9.1371e-002 +5.5029e-001 +5.7752e-001 -8.9834e-001 +1.1284e-001 +1.5709e-001 +2.1313e-001
1430 +3.265089682e+001 +3.265089682e+001 +1.564808968e+002 +1.564808968e+002 -1.9521e-001 +4.0467e-001 +6.5294e-001 -1.9760e-002 -5.7580e-001 +4.1972e-003 +4.8785e-001 +8.4444e-002 +6.9246e-002 -9.6403e-001 +7.9641e-002 +4.1245e-001 -2.9829e-001 +6.7466e-002 +6.1343e-001 +6.1182e-001 -9.3784e-001 +1.0632e-001 +1.8220e-001 +1.2884e-001
1496 +3.212495976e+001 +3.212495976e+001 +1.559549598e+002 +1.559549598e+002 -1.9822e-001 +4.2423e-001 +7.0233e-001 +1.8388e-002 -7.4418e-001 +3.1745e-002 +5.7288e-001 +1.7728e-001 +9.1217e-002 -9.9155e-001 +9.7119e-002 +4.1145e-001 -3.3688e-001 +1.1963e-001 +6.4065e-001 +6.0741e-001 -9.7676e-001 +1.1921e-001 +2.2981e-002 +6.7754e-002
